site,lat,lon
Acemhöyük,38.4116,33.8355
Alaca Höyük,40.23,34.68
Ayvalıpınar,40.46,35.65
Ballıkuyumcu,39.77,32.52
Bolus (Aktepe),40.07,36.5
Boyalı,40.31,34.26
Boğazlıyan/Yoğunhisar,39.17,35.23
Büyüknefes (Bronze Age Site),39.85,34.5
Doğantepe,40.6,35.6
Eskiyapar,40.16,34.77
Ferzant,40.6,35.38
Harmandalı,38.95,33.95
Karaoğlan,39.73,32.83
Kayapınar Höyüğü,40.16,36.25
Külhöyük (Haymana),39.48,32.67
Mercimektepe,40.88,35.34
Oluz Höyük,40.55,35.63
Sarız,38.47,36.5
Suluca Karahöyük (Hacıbektaş),38.93,34.55
Topakhöyük,38.61,34.29
Topaklı,39.01,34.83
Uşaklı/Kuşaklı Höyük,39.8,35.1
Yalak (Boz Höyük),38.3,36.44
Yassıhöyük (Yozgat),39.99,34.88
Yassıhöyük (Çoğun/Kırşehir),39.32,34.08
Zank,38.95,34.79
Çadır (Sorgun),39.68,35.14
Çengeltepe,39.84,34.87
Çomaklı/İlmez,37.72,32.5
Üyük,40.15,35.85
